-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.022,  0.214
-183.799, 80.194, 0.116,  0.247
-183.796, 80.187, 0.226,  0.280
-183.794, 80.177, 0.283,  0.313
-183.790, 80.166, 0.348,  0.346
-183.786, 80.152, 0.411,  0.379
-183.782, 80.137, 0.447,  0.412
-183.777, 80.122, 0.449,  0.445
-183.772, 80.107, 0.443,  0.478
-183.767, 80.092, 0.473,  0.511
-183.762, 80.076, 0.522,  0.544
-183.755, 80.057, 0.582,  0.577
-183.748, 80.034, 0.705,  0.610
-183.739, 80.009, 0.788,  0.643
-183.730, 79.981, 0.851,  0.676
-183.720, 79.952, 0.875,  0.709
-183.711, 79.924, 0.846,  0.742
-183.702, 79.898, 0.819,  0.775
-183.692, 79.872, 0.813,  0.808
-183.683, 79.845, 0.833,  0.841
-183.673, 79.817, 0.893,  0.874
-183.661, 79.785, 1.017,  0.907
-183.647, 79.749, 1.144,  0.940
-183.632, 79.709, 1.226,  0.973
-183.617, 79.668, 1.290,  1.006
-183.600, 79.625, 1.331,  1.039
-183.584, 79.583, 1.322,  1.072
-183.567, 79.542, 1.312,  1.105
-183.551, 79.501, 1.314,  1.138
-183.534, 79.459, 1.337,  1.171
-183.517, 79.416, 1.389,  1.204
-183.498, 79.370, 1.461,  1.237
-183.478, 79.322, 1.541,  1.270
-183.456, 79.272, 1.608,  1.303
-183.434, 79.221, 1.652,  1.336
-183.412, 79.168, 1.679,  1.369
-183.389, 79.116, 1.678,  1.402
-183.366, 79.064, 1.684,  1.435
-183.343, 79.012, 1.710,  1.468
-183.319, 78.958, 1.767,  1.501
-183.293, 78.901, 1.852,  1.534
-183.267, 78.842, 1.939,  1.567
-183.239, 78.781, 1.990,  1.600
-183.211, 78.719, 2.009,  1.633
-183.183, 78.658, 2.009,  1.666
-183.155, 78.597, 2.004,  1.699
-183.127, 78.536, 2.002,  1.732
